id,resource,action,description,created_at,updated_at
d6bbeb08-a6b8-4264-afba-31420bc61ee4,users,create,Create users,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
20724fec-da88-49b2-98fd-47e55af05545,users,read,View users,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
3eda37f7-582e-44e7-a823-12370fc72d82,users,update,Update users,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
ddf9edd3-72a8-426d-91e1-a9f9b71bba33,users,delete,Delete users,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
407793a2-583f-47e5-8bcd-e52d43f0eab0,users,manage,Full user management,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
3b221855-67ad-4c51-a6bb-4030e0a193c7,organizations,create,Create organizations,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
a67e8c27-ea0c-4b2a-a772-0397065bb22b,organizations,read,View organizations,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
ffe871ae-f049-4b56-a3d5-f8726d4e9250,organizations,update,Update organizations,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
bb4fc096-e945-4f62-a4f0-3aa3e527ce31,organizations,delete,Delete organizations,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
322e252e-ae32-40b5-a24e-3fc922527bdf,organizations,manage,Full organization management,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
3f8a6c39-af3e-4bef-bd8d-f029352117f8,roles,create,Create roles,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
5cfd4bd0-4962-4fae-8084-2b8239609e00,roles,read,View roles,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
192052c4-ef2c-4d09-9d4a-23f8ceb3e456,roles,update,Update roles,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
4e5b0d81-d23e-4d86-bd5d-d37601aaea55,roles,delete,Delete roles,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
043a07f2-96bb-4c95-9dc8-cdba7205978f,roles,manage,Full role management,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
37dfb7e0-44e7-4167-aa4a-c5c7100b1075,billing,read,View billing,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
0ade32a4-2df6-4d82-a0ec-f5ab1a04e26b,billing,manage,Manage billing,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
2874cab4-0538-4b25-a937-11f8cc9e9570,modules,read,View modules,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
68b30483-ce4d-496c-8a98-00355f1f4b1e,modules,manage,Manage modules,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
9343a7a8-8fd5-4200-8b0e-8f970a6180aa,audit,read,View audit logs,2026-02-14 02:49:44.909257+00,2026-02-14 02:49:44.909257+00
