id,name,slug,owner_user_id,plan,status,settings,max_users,max_storage_bytes,created_at,updated_at
c38cbdac-1e6b-400f-93e0-08995356df1e,Acme Org 548098,acmeorg548098,f139321d-56eb-4382-b5ae-150054b90066,free,active,{},5,1073741824,2026-02-14 04:28:36.23847+00,2026-02-14 04:28:36.23847+00
5a9b3161-a138-47b2-980b-8bb5874cec5d,Acme Org 67382 (Updated),acmeorg67382,f13808bd-ea29-4903-8446-fd3074e95082,free,active,"{""locale"": ""en-AU"", ""branding"": {""companyName"": ""Acme Org 67382 (Updated)""}, ""timezone"": ""Australia/Perth""}",5,1073741824,2026-02-14 04:29:10.643077+00,2026-02-14 04:29:10.704938+00
f13c1301-7373-4439-96d1-ef0f8535832f,Acme Org 92117 (Updated),acmeorg92117,021406ce-da34-45de-830e-f19ecc08ef4e,starter,active,"{""locale"": ""en-AU"", ""branding"": {""companyName"": ""Acme Org 92117 (Updated)""}, ""timezone"": ""Australia/Perth""}",25,10737418240,2026-02-14 04:34:02.04404+00,2026-02-14 04:34:02.304173+00
eb9a2c1d-1b6a-4086-8fc1-1e8fd9737706,Acme Org 646500 (Updated),acmeorg646500,f9b770ea-4d0a-42d7-813f-886f546fe70d,starter,active,"{""locale"": ""en-AU"", ""branding"": {""companyName"": ""Acme Org 646500 (Updated)""}, ""timezone"": ""Australia/Perth""}",25,10737418240,2026-02-14 04:43:20.63163+00,2026-02-14 04:43:20.713885+00
24421b5e-6aac-420c-ad42-a63969032702,Acme Org 453592 (Updated),acmeorg453592,6b93b6a9-7673-4138-88b2-af2105d59f19,business,active,"{""locale"": ""en-AU"", ""branding"": {""companyName"": ""Acme Org 453592 (Updated)""}, ""timezone"": ""Australia/Perth""}",100,107374182400,2026-02-14 04:44:03.608672+00,2026-02-14 04:44:03.836431+00
0be73761-7939-41ff-ba6e-58786e088a3c,Acme Org 225205 (Updated),acmeorg225205,3dcfb2b8-99a0-48d5-b47d-104098d7f37e,business,active,"{""locale"": ""en-AU"", ""branding"": {""companyName"": ""Acme Org 225205 (Updated)""}, ""timezone"": ""Australia/Perth""}",100,107374182400,2026-02-14 04:45:07.119679+00,2026-02-14 04:45:07.311972+00
73699650-bbd6-4c21-a39b-7962e96d6c8c,Gateway Org 770486,gatewayorg770486,7aa95594-4be1-483f-96ed-905da56484b0,starter,active,{},25,10737418240,2026-02-14 08:16:57.22857+00,2026-02-14 08:16:57.22857+00
f05a3aac-e7e9-4b52-941a-4a31ae915848,Gateway Org 860696,gatewayorg860696,7aa95594-4be1-483f-96ed-905da56484b0,starter,active,{},25,10737418240,2026-02-14 08:17:21.304844+00,2026-02-14 08:17:21.304844+00
8f85c0e3-5477-40d4-adf9-5e0644c1dd7e,Gateway Org 997845,gatewayorg997845,3a81e0c8-c918-4c24-a64b-32fab8f95a8b,starter,active,{},25,10737418240,2026-02-14 08:19:04.913144+00,2026-02-14 08:19:04.913144+00
def394e0-4158-4dfc-9cec-c81ac494190f,Gateway Org 990922,gatewayorg990922,21a88ea9-b563-45ee-b423-b41c5f04f0de,starter,active,{},25,10737418240,2026-02-14 08:20:17.730979+00,2026-02-14 08:20:17.730979+00
e95af8eb-2491-4396-8e66-b1a007d9d367,Gateway Org 637339,gatewayorg637339,986181cb-6312-428d-8bbf-fbcdc566ffc3,starter,active,{},25,10737418240,2026-02-14 08:23:30.92531+00,2026-02-14 08:23:30.92531+00
dc26ead6-ab33-4a93-9c0f-7d7146bd6b4d,Gateway Org 125943,gatewayorg125943,c5157390-f751-4d99-af5b-1a96dea8bcce,starter,active,{},25,10737418240,2026-02-14 08:24:54.612923+00,2026-02-14 08:24:54.612923+00
8b937ec0-ee96-499f-b943-02d56285729b,Gateway Org 902639,gatewayorg902639,de2c87cc-deb5-45b3-9d89-91215f010435,starter,active,{},25,10737418240,2026-02-14 08:31:57.837579+00,2026-02-14 08:31:57.837579+00
e74e641a-66e1-4e5c-a8ba-77f5f0c040c1,Gateway Org 13901,gatewayorg13901,02232fb5-9e71-44d7-838a-5d70f1cd396c,starter,active,{},25,10737418240,2026-02-14 08:38:19.467645+00,2026-02-14 08:38:19.467645+00
0a2c0507-98c4-4434-b167-118679a0df47,Gateway Org 169007,gatewayorg169007,f5b687c2-9f1f-4e84-ac74-3a069b6c37cd,starter,active,{},25,10737418240,2026-02-14 08:39:06.120911+00,2026-02-14 08:39:06.120911+00
31a42578-9309-4418-a709-1519c9aa306e,Gateway Org 689327,gatewayorg689327,342b960f-0d7b-4947-9daf-5292d5e2753a,starter,active,{},25,10737418240,2026-02-14 08:53:20.367843+00,2026-02-14 08:53:20.367844+00
2f0ee7f8-0e43-4787-81db-64d2eba2deba,Gateway Org 495466,gatewayorg495466,06e0fe03-4705-47b6-97bd-e921353cb121,starter,active,{},25,10737418240,2026-02-14 09:01:18.641868+00,2026-02-14 09:01:18.641869+00
83c991c5-117a-4c49-8b68-7259d095e5a2,Gateway Org 739776,gatewayorg739776,b982f4c6-a4c0-411c-9403-2dd445c33a72,starter,active,{},25,10737418240,2026-02-14 09:02:22.06356+00,2026-02-14 09:02:22.063561+00
49be6158-1e61-4404-9035-2ac27582a025,Gateway Org 21467,gatewayorg21467,e51c8bba-1fa1-4f13-aafa-e2d706b2fede,starter,active,{},25,10737418240,2026-02-14 09:05:38.563082+00,2026-02-14 09:05:38.563082+00
